TF,target,importance,corr_sign,signed_importance,validated
ID2,CD2,0.6299061165947948,1.0,0.6299061165947948,False
ICOS,RUNX3,0.6292432650591372,1.0,0.6292432650591372,False
CD28,FOSB,0.6279505582980963,-1.0,-0.6279505582980963,False
CD28,PIK3AP1,0.6277265297185147,-1.0,-0.6277265297185147,False
CD2,GNLY,0.6270499125398595,1.0,0.6270499125398595,True
CD2,ICOS,0.6205095474409626,1.0,0.6205095474409626,False
ICOS,IL1R1,0.6179832227246562,1.0,0.6179832227246562,False
ICOS,DEF6,0.6172814180427726,-1.0,-0.6172814180427726,False
ICOS,APOBEC3D,0.6167109158285934,-1.0,-0.6167109158285934,False
TNFRSF25,FOXD2,0.616443094718755,1.0,0.616443094718755,False
IFNG,CD40,0.6146885732273776,-1.0,-0.6146885732273776,False
TNFRSF18,BATF,0.6099074851502327,1.0,0.6099074851502327,False
CD40,CNR2,0.6083282391670841,1.0,0.6083282391670841,False
TNFRSF18,NKG7,0.6079205708352962,1.0,0.6079205708352962,False
TNFRSF4,ALX4,0.6072910399830491,1.0,0.6072910399830491,False
ICOS,PRF1,0.605570028190891,-1.0,-0.605570028190891,False
NLRC3,TNFRSF14,0.6048443439025668,1.0,0.6048443439025668,False
CD226,ARHGDIB,0.6039569825571718,1.0,0.6039569825571718,False
ZEB2,TNFRSF9,0.6015353824779947,1.0,0.6015353824779947,False
TNFRSF14,PRKD2,0.599848480047743,1.0,0.599848480047743,False
TNFRSF18,CD28,0.5966845479618983,-1.0,-0.5966845479618983,False
ICOS,MGST3,0.5962681407619284,-1.0,-0.5962681407619284,False
TNFRSF25,LHX6,0.5953942973843891,-1.0,-0.5953942973843891,False
NLRC3,TNFRSF25,0.5952369224252305,1.0,0.5952369224252305,False
ICOS,MAP4K1,0.593992989814347,-1.0,-0.593992989814347,False
IL2RB,TNFRSF8,0.5928541325433914,1.0,0.5928541325433914,False
ARHGDIB,CD40,0.5925975797211965,1.0,0.5925975797211965,False
CD226,TNFRSF12A,0.5904233386611184,-1.0,-0.5904233386611184,False
CD2,PAPOLG,0.5890141971002633,1.0,0.5890141971002633,False
IKZF3,CD40,0.585950094154623,1.0,0.585950094154623,False
CD2,CNR2,0.5809455145676883,1.0,0.5809455145676883,False
IL2RG,TNFRSF8,0.5792434308360935,-1.0,-0.5792434308360935,False
TNFRSF9,IL2,0.5762995263929425,1.0,0.5762995263929425,False
TNFRSF18,ABCB10,0.5761662733892791,1.0,0.5761662733892791,False
EOMES,TNFRSF9,0.5758824207224151,1.0,0.5758824207224151,True
CD2,TNFRSF18,0.5748317977642925,1.0,0.5748317977642925,False
TNFRSF4,RAC2,0.5747010857062131,-1.0,-0.5747010857062131,False
CD28,TRIM21,0.5725264287520504,1.0,0.5725264287520504,True
CD226,IL2RG,0.5709650763225801,1.0,0.5709650763225801,False
TNFRSF4,OTUD7A,0.5704268531711146,-1.0,-0.5704268531711146,False
CD27,MAP4K1,0.5690741011364089,-1.0,-0.5690741011364089,True
PIK3AP1,CD40,0.568709967423356,1.0,0.568709967423356,False
FOXO1,TNFRSF9,0.5670255825011612,-1.0,-0.5670255825011612,False
CD226,GNLY,0.5656512907942121,1.0,0.5656512907942121,False
CD27,APOL2,0.5655144235353906,-1.0,-0.5655144235353906,True
TNFRSF4,TNFRSF14,0.5654234111382481,-1.0,-0.5654234111382481,False
CD226,CD247,0.5644694584851291,1.0,0.5644694584851291,False
TNFRSF9,OTUD7B,0.5630579642030824,1.0,0.5630579642030824,False
CD226,EOMES,0.562564182301286,-1.0,-0.562564182301286,False
EMP1,TNFRSF8,0.558547761126633,1.0,0.558547761126633,False
ICOS,PIK3AP1,0.5573055085207216,-1.0,-0.5573055085207216,False
TNFRSF4,GNLY,0.5570883994325331,1.0,0.5570883994325331,False
TNFRSF18,APOBEC3C,0.5570225399155426,1.0,0.5570225399155426,False
ICOS,LHX4,0.5535509362791543,1.0,0.5535509362791543,False
BATF,TNFRSF18,0.5526904925214942,1.0,0.5526904925214942,False
ABCB10,CD40,0.5521821096860471,-1.0,-0.5521821096860471,False
PLCG2,TNFRSF25,0.549882542722324,-1.0,-0.549882542722324,True
ID2,TNFRSF18,0.5479092057101,1.0,0.5479092057101,False
CD2,CD40,0.5471190708094259,-1.0,-0.5471190708094259,False
CD226,ITPKA,0.5464666969015427,-1.0,-0.5464666969015427,False
TNFRSF18,PRF1,0.5464285955344722,1.0,0.5464285955344722,False
CD226,FASLG,0.5436106096456629,1.0,0.5436106096456629,False
TNFRSF25,VAV1,0.5428354899716467,-1.0,-0.5428354899716467,False
TNFRSF18,CD27,0.5407360518460689,-1.0,-0.5407360518460689,False
