TF,target,importance,corr_sign,signed_importance,validated
TNFRSF9,GZMB,24.240938393790284,1.0,24.240938393790284,False
TNFRSF4,TNFRSF18,13.147752434032617,1.0,13.147752434032617,False
TNFRSF9,IRF4,11.770109363938351,1.0,11.770109363938351,False
TNFRSF9,XCL1,9.146338572884794,1.0,9.146338572884794,False
CD226,LHX4,9.117898792099538,-1.0,-9.117898792099538,False
TNFRSF9,IFNG,8.94507012155804,1.0,8.94507012155804,False
TNFRSF9,NKG7,8.024848714120674,1.0,8.024848714120674,False
IFNG,TNFRSF9,7.776094929309743,1.0,7.776094929309743,False
ICOS,GZMB,7.623809455826263,1.0,7.623809455826263,False
TNFRSF18,TNFRSF4,6.958235213249041,1.0,6.958235213249041,False
IFNG,ICOS,6.663430195719919,1.0,6.663430195719919,False
IRF4,ICOS,6.153189102519204,1.0,6.153189102519204,False
IFNG,CD2,6.108724488401048,1.0,6.108724488401048,False
TNFRSF4,IL2,5.9825728565073,1.0,5.9825728565073,False
TNFRSF9,CCL4,5.816852143218142,1.0,5.816852143218142,False
ARHGDIB,ICOS,5.714358002190135,-1.0,-5.714358002190135,True
TNFRSF9,TAGAP,5.695424569342801,1.0,5.695424569342801,True
ICOS,CCL5,5.5739791022650325,-1.0,-5.5739791022650325,False
RUNX3,CD2,5.260100844335662,1.0,5.260100844335662,False
CD226,GRAP,5.065842248817484,1.0,5.065842248817484,False
TNFRSF4,CEACAM1,5.052794620897923,1.0,5.052794620897923,False
IRF4,TNFRSF8,4.924866131332396,1.0,4.924866131332396,False
TNFRSF9,CCL5,4.796907056321962,-1.0,-4.796907056321962,True
TNFRSF9,ZEB2,4.786673052836471,1.0,4.786673052836471,False
IFNG,TNFRSF8,4.782406908314012,1.0,4.782406908314012,False
ICOS,CD28,4.762807268737306,1.0,4.762807268737306,False
TNFRSF9,TBX21,4.722345278324571,1.0,4.722345278324571,False
IFNG,CD27,4.64587227078023,-1.0,-4.64587227078023,True
ICOS,AKAP12,4.455567533445128,1.0,4.455567533445128,False
TNFRSF9,FASLG,4.358006843440839,1.0,4.358006843440839,False
TNFRSF8,GZMB,4.24770903150371,1.0,4.24770903150371,False
CD226,PLCG2,4.245176234151746,1.0,4.245176234151746,False
ICOS,IFNG,4.181485216423097,1.0,4.181485216423097,False
ARHGDIB,TNFRSF8,4.126755347727863,-1.0,-4.126755347727863,False
TNFRSF9,BATF,4.0137774361412015,1.0,4.0137774361412015,False
IL2RG,CD27,3.9133303093259824,1.0,3.9133303093259824,False
CD2,P2RY14,3.880406683468902,1.0,3.880406683468902,True
TCF7,TNFRSF14,3.8106721789911866,1.0,3.8106721789911866,False
CD226,CBY1,3.771602359168284,-1.0,-3.771602359168284,False
TNFRSF9,TNF,3.660382311649715,1.0,3.660382311649715,False
ICOS,TNFRSF4,3.538548981857164,1.0,3.538548981857164,False
CD226,MUC1,3.34618565551224,1.0,3.34618565551224,False
TNFRSF9,OTUD7B,3.330299234426838,1.0,3.330299234426838,False
TNFRSF9,LTBR,3.3288779969699687,1.0,3.3288779969699687,False
TNFRSF9,CD28,3.2989233898752905,-1.0,-3.2989233898752905,True
ARHGDIB,CD27,3.215140037938788,1.0,3.215140037938788,True
CD28,LTBR,3.209091445883944,-1.0,-3.209091445883944,False
TNFRSF9,EOMES,3.1814820757417634,1.0,3.1814820757417634,False
BATF,CD28,3.177916785296362,-1.0,-3.177916785296362,False
ARHGDIB,TNFRSF9,3.1525300507240583,-1.0,-3.1525300507240583,True
IRF4,TNFRSF4,3.101298940842677,1.0,3.101298940842677,False
CD226,PAPOLG,3.094710300834388,-1.0,-3.094710300834388,False
TNFRSF18,TNFRSF12A,3.036144878663089,1.0,3.036144878663089,False
GATA3,CD40,3.0256830188516006,-1.0,-3.0256830188516006,False
IRF4,TNFRSF14,2.946682828438361,-1.0,-2.946682828438361,False
TNFRSF9,EMP1,2.908253993180478,1.0,2.908253993180478,False
ICOS,IRF4,2.907665388270442,1.0,2.907665388270442,False
IL2RG,CD2,2.8720172486155517,1.0,2.8720172486155517,False
TNFRSF9,FOSB,2.830967085798945,1.0,2.830967085798945,False
CD40,LTBR,2.792316970762093,1.0,2.792316970762093,False
TRAF3IP2,TNFRSF25,2.782390951766674,1.0,2.782390951766674,True
TNFRSF9,NLRC3,2.745963592534829,-1.0,-2.745963592534829,True
